"wmi";"name";"id"
"WJR";"IRMSCHER";1319
"WKK";"KARL KÄSSBOHRER FAHRZEUGWERKE";1320
"WMA";"MAN";1321
"WME";"SMART";1322
"WMW";"MINI";1323
"WP0";"PORSCHE CAR";1324
"WP1";"PORSCHE SUV";1325
"WUA";"QUATTRO";1326
"WVG";"VOLKSWAGEN";1327
"WVW";"VOLKSWAGEN";1328
"ML3";"DODGE";547
"WV1";"VOLKSWAGEN COMMERCIAL VEHICLES";1329
"WV2";"VOLKSWAGEN COMMERCIAL VEHICLES";1330
"W09";"RUF AUTOMOBILE";1331
"W0L";"OPEL/VAUXHALL";1332
"W0SV";"OPEL SPECIAL VEHICLES";1333
"XLR";"DAF TRUCKS";1334
"XTA";"AVTOVAZ";1335
"XTB";"AZLK";1336
"YK1";"SAAB";1337
"YS2";"SCANIA, SÖDERTÄLJE";1338
"YS3";"SAAB";1339
"YS4";"SCANIA, KATRINEHOLM";1340
"YTN";"SAAB NEVS";1341
"YV1";"VOLVO CARS";1342
"YV2";"VOLVO TRUCKS";1343
"YV3";"VOLVO BUSES";1344
"YT9";"KOENIGSEGG AUTOMOTIVE AB";1345
"ZA9";"BUGATTI";1346
"ZAM";"MASERATI";1347
"ZAP";"PIAGGIO";1348
"ZAR";"ALFA ROMEO";1349
"ZCF";"IVECO";1350
"SA9";"MORGAN";570
"ZFA";"FIAT";1351
"ZFF";"FERRARI";1352
"ZGA";"IVECOBUS";1353
"SAX";"STERLING";575
"ZHW";"LAMBORGHINI";1354
"ZLA";"LANCIA";1355
"1B";"DODGE";1356
"1C";"CHRYSLER";1357
"1F";"FORD";1358
"1G";"GENERAL MOTORS";1359
"1G1";"CHEVROLET";1360
"1G3";"OLDSMOBILE";1361
"1G4";"BUICK";1362
"1G9";"GOOGLE";1363
"1GB";"CHEVROLET INCOMPLETE VEHICLES";1364
"SU9";"SOLARIS";587
"1GC";"CHEVROLET";1365
"1GD";"GMC INCOMPLETE VEHICLES";1366
"TK9";"SOR";590
"1GM";"PONTIAC";1367
"1HG";"HONDA";1368
"1J";"JEEP";1369
"1L";"LINCOLN";1370
"1M";"MERCURY";1371
"1MR";"CONTINENTAL";1372
"1N";"NISSAN";1373
"1VW";"VOLKSWAGEN";1374
"1YV";"MAZDA";1375
"1ZV";"FORD";1376
"2DG";"ONTARIO DRIVE & GEAR";1377
"2F";"FORD";1378
"2Gx";"GENERAL MOTORS";1379
"2G1";"CHEVROLET";1380
"2G2";"PONTIAC";1381
